MonthStart,EmployeeID,DepartmentID,ActiveFlag,NewHireFlag,TerminatedFlag,WorkDays,PresentDays,LeaveDays,SickLeaveDays,AbsenceDays,OTHours,TrainingHours,PerformanceScore,MonthlySalary
2025-01-01,E0001,D006,1,0,0,23,21.3,0.8,0.9,0.0,4.5,1.1,3.5,35800
2025-02-01,E0001,D006,1,0,0,20,19.1,0.4,0.5,0,6.2,2.1,3.1,35800
2025-03-01,E0001,D006,1,0,0,21,20.8,0.1,0,0.1,16.4,0,3.2,35800
2025-04-01,E0001,D006,1,0,0,22,19.4,1.9,0.6,0.1,6.7,2.5,3.3,35800
2025-05-01,E0001,D006,1,0,0,22,21.9,0,0.1,0,15.5,4.1,3.0,35800
2025-06-01,E0001,D006,1,0,0,21,17.5,1.7,1.8,0,15.5,3.2,3.3,35800
2025-07-01,E0001,D006,1,0,0,23,22.9,0.0,0.1,0,0,3.6,3.2,35800
2025-08-01,E0001,D006,1,0,0,21,18.2,1.4,0.2,1.2,0.7,0.6,3.8,35800
2025-09-01,E0001,D006,1,0,0,22,18.1,3.1,0,0.8,4.4,5.1,3.4,35800
2025-10-01,E0001,D006,1,0,0,23,18.6,3.0,1.4,0,23.7,0.3,3.2,35800
2025-11-01,E0001,D006,1,0,0,20,17.4,2.6,0.0,0,9.7,3.4,3.6,35800
2025-12-01,E0001,D006,1,0,0,23,21.8,0.3,0.6,0.3,16.5,3.2,2.7,35800
2026-01-01,E0001,D006,1,0,0,22,20.3,1.0,0.1,0.6,0.6,3.6,2.8,35800
2026-02-01,E0001,D006,1,0,0,20,16.8,2.1,0.9,0.2,11.5,1.8,3.8,35800
2026-03-01,E0001,D006,1,0,1,6,4.0,1.0,0.9,0.1,0,1.5,4.2,35800
2025-01-01,E0002,D001,1,0,0,23,20.1,2.3,0.5,0.1,7.3,3.8,3.7,28600
2025-02-01,E0002,D001,1,0,0,20,18.5,0.1,0.8,0.6,4.2,2.1,3.7,28600
2025-03-01,E0002,D001,1,0,0,21,19.1,1.7,0.2,0,6.7,3.3,3.6,28600
2025-04-01,E0002,D001,1,0,0,22,21.0,1.0,0,0,12.2,0.1,3.5,28600
2025-05-01,E0002,D001,1,0,0,22,21.1,0.7,0.1,0.1,17.4,3.1,3.2,28600
2025-06-01,E0002,D001,1,0,0,21,19.8,0,0.7,0.5,12.0,4.8,3.7,28600
2025-07-01,E0002,D001,1,0,0,23,22.3,0,0.4,0.3,12.6,1.5,3.4,28600
2025-08-01,E0002,D001,1,0,0,21,18.1,1.3,1.1,0.5,12.2,3.3,2.8,28600
2025-09-01,E0002,D001,1,0,0,22,21.1,0.0,0.4,0.5,11.0,3.6,2.6,28600
2025-10-01,E0002,D001,1,0,0,23,21.8,0,1.1,0.1,2.4,4.3,3.5,28600
2025-11-01,E0002,D001,1,0,0,20,15.0,3.7,1.1,0.2,8.2,3.0,3.3,28600
2025-12-01,E0002,D001,1,0,0,23,21.8,0,1.0,0.2,0,1.2,2.9,28600
2026-01-01,E0002,D001,1,0,0,22,19.1,1.9,0.4,0.6,1.0,0.3,4.0,28600
2026-02-01,E0002,D001,1,0,0,20,19.6,0.4,0,0,5.2,3.6,4.0,28600
2026-03-01,E0002,D001,1,0,0,22,21.6,0,0.3,0.1,9.4,4.2,3.5,28600
2026-04-01,E0002,D001,1,0,0,22,21.5,0.5,0,0,7.1,2.5,3.9,28600
2026-05-01,E0002,D001,1,0,0,21,18.5,0.7,1.7,0.1,6.6,3.3,2.9,28600
2026-06-01,E0002,D001,1,0,0,22,20.4,1.2,0,0.4,9.3,2.9,3.5,28600
2026-07-01,E0002,D001,1,0,0,23,22.3,0,0,0.7,11.5,1.3,3.6,28600
2026-08-01,E0002,D001,1,0,0,21,17.6,1.4,1.5,0.5,11.1,1.6,4.4,28600
2026-09-01,E0002,D001,1,0,0,22,21.1,0.9,0,0,4.7,1.8,3.8,28600
2026-10-01,E0002,D001,1,0,0,22,18.9,1.8,1.1,0.2,13.2,7.0,3.9,28600
2026-11-01,E0002,D001,1,0,0,21,18.6,2.4,0,0,5.2,0,3.4,28600
2026-12-01,E0002,D001,1,0,0,23,20.3,2.3,0.2,0.2,4.7,1.5,3.6,28600
2025-01-01,E0003,D007,1,0,0,23,21.9,0,1.1,0,10.6,1.5,4.2,28800
2025-02-01,E0003,D007,1,0,0,20,18.3,1.7,0,0,4.0,1.5,3.3,28800
2025-03-01,E0003,D007,1,0,0,21,19.2,1.0,0.8,0,0,3.0,3.2,28800
2025-04-01,E0003,D007,1,0,0,22,20.9,0.9,0.1,0.1,16.4,0,2.7,28800
2025-05-01,E0003,D007,1,0,0,22,19.1,1.6,1.3,0.0,2.7,0,3.5,28800
2025-06-01,E0003,D007,1,0,0,21,18.5,0,1.6,0.9,10.1,3.5,3.3,28800
2025-07-01,E0003,D007,1,0,0,23,20.5,2.0,0.4,0.1,15.8,3.8,4.6,28800
2025-08-01,E0003,D007,1,0,0,21,20.9,0,0.1,0,13.2,1.5,3.7,28800
2025-09-01,E0003,D007,1,0,0,22,20.7,0,0.4,0.9,17.2,0,3.6,28800
2025-10-01,E0003,D007,1,0,0,23,21.1,1.7,0.2,0,12.3,2.7,3.7,28800
2025-11-01,E0003,D007,1,0,0,20,17.4,0.9,1.7,0,6.5,3.5,3.8,28800
2025-12-01,E0003,D007,1,0,0,23,21.8,0,1.2,0,9.0,1.9,3.0,28800
2026-01-01,E0003,D007,1,0,0,22,20.0,2.0,0,0,4.5,4.2,4.3,28800
2026-02-01,E0003,D007,1,0,0,20,17.1,1.7,1.2,0,9.8,0,3.2,28800
2026-03-01,E0003,D007,1,0,0,22,19.7,1.2,0.5,0.6,0,0.8,2.6,28800
2026-04-01,E0003,D007,1,0,0,22,20.8,0,1.0,0.2,16.8,4.9,3.4,28800
2026-05-01,E0003,D007,1,0,0,21,19.9,0.1,1.0,0,3.0,0.2,3.5,28800
2026-06-01,E0003,D007,1,0,0,22,18.9,2.1,0.5,0.5,9.5,1.6,4.9,28800
2026-07-01,E0003,D007,1,0,0,23,19.8,2.6,0.6,0,1.0,3.3,3.3,28800
2026-08-01,E0003,D007,1,0,0,21,18.7,1.4,0.6,0.3,14.7,3.1,3.0,28800
2026-09-01,E0003,D007,1,0,0,22,20.9,0.3,0.8,0,12.6,3.9,3.4,28800
2026-10-01,E0003,D007,1,0,0,22,21.7,0.3,0,0,0.9,2.6,3.2,28800
2026-11-01,E0003,D007,1,0,0,21,19.7,0.2,0.9,0.2,9.2,3.6,4.0,28800
2026-12-01,E0003,D007,1,0,0,23,22.2,0,0.8,0,5.0,4.5,3.8,28800
2026-02-01,E0004,D007,1,1,0,19,16.2,1.6,0.6,0.6,1.3,1.9,3.4,22500
2026-03-01,E0004,D007,1,0,0,22,17.7,2.8,1.0,0.5,5.2,7.0,3.7,22500
2026-04-01,E0004,D007,1,0,0,22,20.2,0.1,1.7,0,4.7,2.0,2.9,22500
2026-05-01,E0004,D007,1,0,0,21,18.7,1.5,0.6,0.2,18.5,0,4.2,22500
2026-06-01,E0004,D007,1,0,0,22,19.6,0.3,1.3,0.8,20.5,2.1,2.8,22500
2026-07-01,E0004,D007,1,0,0,23,21.3,1.3,0.4,0,12.7,0.7,4.2,22500
2026-08-01,E0004,D007,1,0,0,21,18.7,1.9,0.3,0.1,7.8,1.6,5,22500
2026-09-01,E0004,D007,1,0,0,22,20.8,0.2,0.5,0.5,7.1,1.2,2.7,22500
2026-10-01,E0004,D007,1,0,0,22,18.8,2.1,0.8,0.3,1.5,3.5,3.6,22500
2026-11-01,E0004,D007,1,0,0,21,20.2,0.7,0,0.1,4.6,2.7,3.4,22500
2026-12-01,E0004,D007,1,0,0,23,21.3,0.7,0.9,0.1,11.6,3.3,4.0,22500
2025-12-01,E0005,D006,1,1,0,13,12.2,0.1,0.3,0.4,9.8,4.8,3.8,33400
2026-01-01,E0005,D006,1,0,0,22,20.5,0.6,0.9,0.0,13.8,6.2,4.0,33400
2026-02-01,E0005,D006,1,0,0,20,16.9,3.1,0,0,7.7,1.7,3.6,33400
2026-03-01,E0005,D006,1,0,0,22,19.7,0.7,1.1,0.5,11.1,0.5,3.7,33400
2026-04-01,E0005,D006,1,0,0,22,19.7,1.6,0.6,0.1,16.0,1.4,3.2,33400
2026-05-01,E0005,D006,1,0,0,21,18.3,1.6,0.7,0.4,7.6,0,2.7,33400
2026-06-01,E0005,D006,1,0,0,22,20.1,0.6,0.9,0.4,0,3.6,3.4,33400
2026-07-01,E0005,D006,1,0,0,23,21.0,0.1,1.7,0.2,13.1,7.6,3.1,33400
2026-08-01,E0005,D006,1,0,0,21,19.1,0.6,1.3,0,9.4,2.6,3.9,33400
2026-09-01,E0005,D006,1,0,0,22,20.1,1.4,0,0.5,13.2,0.4,3.0,33400
2026-10-01,E0005,D006,1,0,0,22,21.0,0.5,0,0.5,7.4,1.9,2.8,33400
2026-11-01,E0005,D006,1,0,0,21,18.7,0.6,1.3,0.4,0.9,0.5,3.7,33400
2026-12-01,E0005,D006,1,0,0,23,22.3,0.6,0.1,0,2.3,2.7,3.2,33400
2025-01-01,E0006,D005,1,0,0,23,20.6,2.0,0.4,0,6.1,5.2,3.0,55400
2025-02-01,E0006,D005,1,0,0,20,19.8,0,0.2,0,8.9,0,3.2,55400
2025-03-01,E0006,D005,1,0,0,21,17.8,2.3,0.9,0,1.7,2.1,3.3,55400
2025-04-01,E0006,D005,1,0,0,22,19.3,2.3,0.4,0,7.0,4.6,3.3,55400
2025-05-01,E0006,D005,1,0,0,22,19.8,1.7,0.5,0,3.8,0.2,3.1,55400
2025-06-01,E0006,D005,1,0,0,21,20.0,0.2,0.6,0.2,0.0,0.7,3.4,55400
2025-07-01,E0006,D005,1,0,0,23,21.1,1.4,0.5,0,7.9,6.0,4.3,55400
2025-08-01,E0006,D005,1,0,0,21,18.7,1.5,0.8,0,4.6,0.2,3.5,55400
2025-09-01,E0006,D005,1,0,0,22,21.2,0,0.8,0,6.3,2.9,3.1,55400
2025-10-01,E0006,D005,1,0,0,23,21.2,1.8,0,0.0,2.4,4.0,3.4,55400
2025-11-01,E0006,D005,1,0,0,20,18.1,1.2,0.7,0,1.2,2.7,4.0,55400
2025-12-01,E0006,D005,1,0,0,23,20.3,1.5,1.2,0.0,4.3,1.5,3.2,55400
2026-01-01,E0006,D005,1,0,0,22,21.4,0.3,0.2,0.1,2.0,2.6,2.4,55400
2026-02-01,E0006,D005,1,0,0,20,17.8,1.4,0.5,0.3,2.6,1.5,3.9,55400
2026-03-01,E0006,D005,1,0,0,22,19.6,0.9,1.5,0,3.3,0.2,3.0,55400
2026-04-01,E0006,D005,1,0,0,22,21.1,0.3,0.2,0.4,0.6,3.7,2.6,55400
2026-05-01,E0006,D005,1,0,0,21,18.9,0.6,1.2,0.3,4.8,3.8,3.7,55400
2026-06-01,E0006,D005,1,0,0,22,19.2,1.6,1.2,0,3.8,3.8,3.8,55400
2026-07-01,E0006,D005,1,0,0,23,20.3,1.5,1.2,0,0,5.0,3.4,55400
2026-08-01,E0006,D005,1,0,0,21,20.0,0.5,0.5,0,7.0,4.3,3.6,55400
2026-09-01,E0006,D005,1,0,0,22,19.5,1.5,0.5,0.5,0,0.2,3.4,55400
2026-10-01,E0006,D005,1,0,1,9,8.1,0.6,0,0.3,1.1,2.9,3.5,55400
2025-01-01,E0007,D001,1,0,0,23,21.8,1.1,0,0.1,15.1,3.6,3.9,32300
2025-02-01,E0007,D001,1,0,0,20,19.1,0.9,0,0,8.2,5.1,4.0,32300
2025-03-01,E0007,D001,1,0,0,21,19.4,1.4,0,0.2,7.7,2.0,2.7,32300
2025-04-01,E0007,D001,1,0,0,22,19.8,1.4,0.4,0.4,1.7,0.2,5,32300
2025-05-01,E0007,D001,1,0,0,22,20.9,0.2,0.6,0.3,4.1,6.0,3.4,32300
2025-06-01,E0007,D001,1,0,0,21,18.4,1.1,1.5,0,6.6,1.8,2.6,32300
2025-07-01,E0007,D001,1,0,0,23,20.9,1.2,0.7,0.2,12.3,4.2,3.6,32300
2025-08-01,E0007,D001,1,0,0,21,19.1,0.8,1.1,0,16.0,2.1,3.8,32300
2025-09-01,E0007,D001,1,0,0,22,19.3,2.6,0,0.1,7.0,5.9,3.2,32300
2025-10-01,E0007,D001,1,0,0,23,19.3,3.5,0,0.2,7.1,3.5,3.1,32300
2025-11-01,E0007,D001,1,0,0,20,19.2,0.6,0,0.2,1.5,0,3.4,32300
2025-12-01,E0007,D001,1,0,0,23,21.1,0.9,1.0,0,11.1,3.1,3.2,32300
2026-01-01,E0007,D001,1,0,0,22,20.9,0.3,0.4,0.4,7.1,4.2,3.2,32300
2026-02-01,E0007,D001,1,0,0,20,16.8,2.6,0.5,0.1,0.9,0,3.6,32300
2026-03-01,E0007,D001,1,0,0,22,20.6,0.8,0.6,0,8.2,1.3,3.6,32300
2026-04-01,E0007,D001,1,0,0,22,19.7,0.8,1.5,0,14.6,0.4,3.1,32300
2026-05-01,E0007,D001,1,0,0,21,19.4,0.2,1.1,0.3,9.7,3.0,2.8,32300
2026-06-01,E0007,D001,1,0,0,22,18.4,2.3,1.2,0.1,9.1,3.8,3.3,32300
2026-07-01,E0007,D001,1,0,0,23,22.0,0.8,0.2,0,6.6,4.0,3.2,32300
2026-08-01,E0007,D001,1,0,0,21,20.3,0.6,0.1,0,16.8,3.5,3.9,32300
2026-09-01,E0007,D001,1,0,0,22,20.0,0.5,1.3,0.2,16.3,2.5,3.4,32300
2026-10-01,E0007,D001,1,0,0,22,20.8,0.5,0.5,0.2,16.5,5.6,3.4,32300
2026-11-01,E0007,D001,1,0,0,21,18.9,2.1,0,0,10.2,4.3,3.6,32300
2026-12-01,E0007,D001,1,0,0,23,21.9,0.9,0.2,0,18.5,4.7,4.1,32300
2025-01-01,E0008,D007,1,0,0,23,21.5,1.0,0.2,0.3,8.9,2.2,3.4,29900
2025-02-01,E0008,D007,1,0,0,20,19.6,0.4,0,0.0,2.1,3.7,3.9,29900
2025-03-01,E0008,D007,1,0,0,21,20.4,0.3,0,0.3,10.2,2.5,2.7,29900
2025-04-01,E0008,D007,1,0,0,22,20.6,0,1.4,0.0,11.5,2.4,3.6,29900
2025-05-01,E0008,D007,1,0,0,22,21.8,0,0.2,0,3.6,1.1,2.4,29900
2025-06-01,E0008,D007,1,0,0,21,20.3,0.6,0.1,0,8.3,2.5,2.9,29900
2025-07-01,E0008,D007,1,0,0,23,18.9,2.8,0.8,0.5,7.4,4.3,3.8,29900
2025-08-01,E0008,D007,1,0,0,21,19.7,0.1,0.1,1.1,6.9,3.5,3.3,29900
2025-09-01,E0008,D007,1,0,0,22,20.3,1.7,0,0,14.7,2.9,2.0,29900
2025-10-01,E0008,D007,1,0,0,23,21.3,1.0,0.3,0.4,10.6,3.2,3.4,29900
2025-11-01,E0008,D007,1,0,0,20,18.7,1.3,0,0,4.7,0,3.8,29900
2025-12-01,E0008,D007,1,0,0,23,20.2,2.0,0.8,0,6.3,1.6,4.0,29900
2026-01-01,E0008,D007,1,0,0,22,19.1,1.5,1.4,0,7.9,0,2.6,29900
2026-02-01,E0008,D007,1,0,0,20,18.8,0.9,0.3,0,1.3,2.9,3.2,29900
2026-03-01,E0008,D007,1,0,0,22,19.4,1.8,0.8,0,11.0,1.3,4.2,29900
2026-04-01,E0008,D007,1,0,0,22,20.8,1.0,0.2,0,1.5,5.0,4.6,29900
2026-05-01,E0008,D007,1,0,0,21,20.6,0,0.3,0.1,6.0,4.9,4.1,29900
2026-06-01,E0008,D007,1,0,0,22,19.5,0.8,1.6,0.1,7.8,3.1,3.0,29900
2026-07-01,E0008,D007,1,0,0,23,19.9,2.3,0.8,0,8.1,0.7,3.5,29900
2026-08-01,E0008,D007,1,0,0,21,20.5,0,0.5,0,11.8,4.6,3.8,29900
2026-09-01,E0008,D007,1,0,0,22,21.0,0.9,0.1,0.0,8.9,3.5,3.1,29900
2026-10-01,E0008,D007,1,0,0,22,20.8,0.1,0.5,0.6,18.4,4.1,2.9,29900
2026-11-01,E0008,D007,1,0,0,21,18.7,2.3,0,0,11.1,0,3.8,29900
2026-12-01,E0008,D007,1,0,0,23,21.3,1.0,0.7,0,13.2,3.5,3.2,29900
2025-01-01,E0009,D001,1,0,0,23,20.9,1.9,0,0.2,8.5,0.9,3.5,23900
2025-02-01,E0009,D001,1,0,0,20,18.5,1.4,0.0,0.1,8.8,3.3,4.1,23900
2025-03-01,E0009,D001,1,0,0,21,19.2,0.6,1.2,0,10.5,0,3.4,23900
2025-04-01,E0009,D001,1,0,0,22,18.6,1.7,1.6,0.1,5.3,4.6,3.4,23900
2025-05-01,E0009,D001,1,0,0,22,19.4,1.1,1.0,0.5,0.3,2.6,3.4,23900
2025-06-01,E0009,D001,1,0,0,21,20.9,0.0,0,0.1,6.7,1.1,3.3,23900
2025-07-01,E0009,D001,1,0,0,23,21.1,0.7,0.5,0.7,8.8,6.3,4.1,23900
2025-08-01,E0009,D001,1,0,0,21,19.1,1.9,0.0,0.0,4.4,3.3,3.4,23900
2025-09-01,E0009,D001,1,0,0,22,19.8,1.4,0.6,0.2,7.2,0.6,3.2,23900
2025-10-01,E0009,D001,1,0,0,23,20.9,1.6,0.4,0.1,13.3,3.5,2.6,23900
2025-11-01,E0009,D001,1,0,0,20,19.0,0.9,0,0.1,11.0,3.5,4.3,23900
2025-12-01,E0009,D001,1,0,0,23,21.9,0.5,0.3,0.3,13.8,0.4,3.8,23900
2026-01-01,E0009,D001,1,0,0,22,20.0,1.6,0.4,0.0,12.7,3.4,3.6,23900
2026-02-01,E0009,D001,1,0,0,20,19.6,0.3,0,0.1,7.6,3.4,3.0,23900
2026-03-01,E0009,D001,1,0,0,22,19.7,1.6,0.7,0,13.7,1.8,3.0,23900
2026-04-01,E0009,D001,1,0,0,22,20.4,1.2,0.4,0,12.1,2.5,3.0,23900
2026-05-01,E0009,D001,1,0,0,21,20.1,0,0.7,0.2,9.6,5.3,2.0,23900
2026-06-01,E0009,D001,1,0,0,22,18.7,2.1,1.2,0,14.1,0.9,2.8,23900
2026-07-01,E0009,D001,1,0,0,23,20.4,0.9,1.5,0.2,9.2,4.3,3.1,23900
2026-08-01,E0009,D001,1,0,0,21,17.1,2.3,1.3,0.3,5.1,4.6,3.6,23900
2026-09-01,E0009,D001,1,0,0,22,19.0,1.6,1.1,0.3,4.5,5.5,3.6,23900
2026-10-01,E0009,D001,1,0,0,22,19.7,1.3,0.8,0.2,12.7,2.9,3.3,23900
2026-11-01,E0009,D001,1,0,0,21,20.3,0.5,0.2,0.0,13.9,1.8,3.3,23900
2026-12-01,E0009,D001,1,0,0,23,21.1,0.9,0.7,0.3,18.9,0,3.3,23900
2025-01-01,E0010,D006,1,0,0,23,20.8,1.5,0,0.7,8.4,0.9,3.9,28800
2025-02-01,E0010,D006,1,0,0,20,19.4,0,0.6,0,8.9,3.2,3.8,28800
2025-03-01,E0010,D006,1,0,0,21,17.9,1.4,1.6,0.1,7.3,5.0,3.4,28800
2025-04-01,E0010,D006,1,0,0,22,20.3,1.4,0,0.3,8.6,1.6,3.0,28800
2025-05-01,E0010,D006,1,0,0,22,19.0,1.8,0,1.2,14.8,3.2,4.4,28800
2025-06-01,E0010,D006,1,0,0,21,19.3,1.2,0,0.5,0.8,3.7,4.1,28800
2025-07-01,E0010,D006,1,0,0,23,21.3,1.5,0,0.2,8.4,1.0,2.1,28800
2025-08-01,E0010,D006,1,0,0,21,20.3,0,0.2,0.5,22.8,4.2,3.0,28800
2025-09-01,E0010,D006,1,0,0,22,20.1,0.6,1.0,0.3,11.0,3.0,4.1,28800
